,dose,real_date,extrapolated,vaccinated,interpolated,group,population
1189,2_wait,2021-05-20,False,16314327,1,all,56286961
663,2,2021-05-20,False,18328091,1,all,56286961
131,1,2021-05-21,False,31546841,1,all,56286961
1190,2_wait,2021-05-21,False,16660751,1,all,56286961
664,2,2021-05-21,False,18699552,1,all,56286961
1191,2_wait,2021-05-22,False,17014518,1,all,56286961
132,1,2021-05-22,False,31725092,1,all,56286961
665,2,2021-05-22,False,19207564,1,all,56286961
133,1,2021-05-23,False,31826800,1,all,56286961
1192,2_wait,2021-05-23,False,17172203,1,all,56286961
666,2,2021-05-23,False,19427627,1,all,56286961
667,2,2021-05-24,False,19707297,1,all,56286961
1193,2_wait,2021-05-24,False,17382645,1,all,56286961
134,1,2021-05-24,False,31922283,1,all,56286961
668,2,2021-05-25,False,20034764,1,all,56286961
1194,2_wait,2021-05-25,False,17651930,1,all,56286961
135,1,2021-05-25,False,32079368,1,all,56286961
669,2,2021-05-26,False,20403317,1,all,56286961
1195,2_wait,2021-05-26,False,17960948,1,all,56286961
136,1,2021-05-26,False,32285678,1,all,56286961
670,2,2021-05-27,False,20777359,1,all,56286961
1196,2_wait,2021-05-27,False,18328091,1,all,56286961
137,1,2021-05-27,False,32509186,1,all,56286961
1197,2_wait,2021-05-28,False,18699552,1,all,56286961
671,2,2021-05-28,False,21158215,1,all,56286961
138,1,2021-05-28,False,32683810,1,all,56286961
1198,2_wait,2021-05-29,False,19207564,1,all,56286961
672,2,2021-05-29,False,21540031,1,all,56286961
139,1,2021-05-29,False,32839276,1,all,56286961
1199,2_wait,2021-05-30,False,19427627,1,all,56286961
673,2,2021-05-30,False,21719454,1,all,56286961
140,1,2021-05-30,False,32938492,1,all,56286961
1200,2_wait,2021-05-31,False,19707297,1,all,56286961
674,2,2021-05-31,False,21874130,1,all,56286961
141,1,2021-05-31,False,33009440,1,all,56286961
1201,2_wait,2021-06-01,False,20034764,1,all,56286961
675,2,2021-06-02,False,22442378,1,all,56286961
142,1,2021-06-02,False,33217806,1,all,56286961
1202,2_wait,2021-06-02,False,20403317,1,all,56286961
143,1,2021-06-03,False,33375144,1,all,56286961
1203,2_wait,2021-06-03,False,20777359,1,all,56286961
676,2,2021-06-03,False,22755904,1,all,56286961
144,1,2021-06-04,False,33525480,1,all,56286961
1204,2_wait,2021-06-04,False,21158215,1,all,56286961
677,2,2021-06-04,False,23077505,1,all,56286961
145,1,2021-06-05,False,33700479,1,all,56286961
